Table 4: ,The number of people in contact with adult mental health services (aged 18 to 69) and the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file) in 2021.,,,
SH02,"Extra care sheltered housing (also known as 'very sheltered housing'. For people who are less able to manage on their own, but who do need an extra level of care. Services offered vary between schemes, but meals and some personal care are often provided.)",149,,
SH03,Nursing Home for older persons,523,,
SH09,Other sheltered housing,473,,
,Other ,38,,
,Total,276483,,
,,,,
,,,,
"In 2021, the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file).",,,,
,,,,
Accommodation Status Code,Accommodation Status,Jan-21,,
CH00,Accommodation with other (not specialist mental health) care support ,390,,
CH01,Foyer - accommodation for young people aged 16-25 who are homeless or in housing need,19,,
CH02,Refuge,60,,
CH03,Non-Mental Health Registered Care Home ,133,,
CH09,Other accommodation with care and support (not specialist mental health),368,,
CJ00,Accommodation with criminal justice support ,105,,
CJ01,Bail/Probation hostel,49,,
CJ02,Prison,134,,
CJ03,Young Offender Institution,3,,
CJ04,Detention Centre,4,,
CJ05,Young Offender Institution (15-17),0,,
CJ06,Young Offender Institution (18-21),0,,
CJ07,Secure Children's Home (Secure Welfare Accommodation only),0,,
CJ08,Secure Children's Home (Youth Detention Accommodation only),0,,
CJ10,Secure Children's Home (Secure Welfare Accommodation and Youth Detention Accommodation),0,,
CJ11,Secure Training Centre,0,,
CJ12,Other accommodation with criminal justice support,11,,
HM00,Homeless ,753,,
HM01,Rough sleeper,126,,
HM02,Squatting,149,,
HM03,"Night shelter/emergency hostel/Direct access hostel (temporary accommodation accepting self referrals, no waiting list and relatively frequent vacancies)",314,,
HM04,Sofa surfing (sleeps on different friends floor each night),169,,
HM05,Placed in temporary accommodation by Local Authority (including Homelessness resettlement service) e.g. Bed and Breakfast accommodation,913,,
HM06,Staying with friends/family as a short term guest,1300,,
HM07,Other homeless,438,,
HS00,Acute/long stay healthcare residential facility/hospital ,638,,
HS01,NHS acute psychiatric ward,496,,
HS02,Independent hospital/clinic,440,,
HS03,Specialist rehabilitation/recovery,784,,
HS04,Secure psychiatric unit,2752,,
HS05,Other NHS facilities/hospital,279,,
HS09,Other acute/long stay healthcare residential facility/hospital,249,,
MA00,Mainstream Housing ,14722,,
MA01,Owner occupier,7953,,
MA02,Settled mainstream housing with family/friends,12649,,
MA03,Shared ownership scheme e.g. Social Homebuy Scheme (tenant purchase percentage of home value from landlord),121,,
MA04,Tenant - Local Authority/Arms Length Management Organisation/Registered Landlord,8606,,
MA05,Tenant - Housing Association,10594,,
MA06,Tenant - private landlord,5829,,
MA09,Other mainstream housing,2444,,
MH00,Accommodation with mental health care support ,2467,,
MH01,Supported accommodation (accommodation supported by staff or resident caretaker),4741,,
MH02,Supported lodgings (lodgings supported by staff or resident caretaker),137,,
MH03,Supported group home (supported by staff or resident caretaker),547,,
MH04,Mental Health Registered Care Home ,1349,,
MH09,Other accommodation with mental health care and support,932,,
ML00,Mobile accommodation ,61,,
OC96,Not elsewhere classified,208,,
OC97,Not specified,984,,
OC98,Not applicable,144,,
OC99,Not Known (Not Recorded),6221,,
SH00,"Sheltered Housing (accommodation with a scheme manager or warden living on the premises or nearby, contactable by an alarm system if necessary) ",269,,
SH01,Sheltered housing for older persons,157,,
SH02,"Extra care sheltered housing (also known as 'very sheltered housing'. For people who are less able to manage on their own, but who do need an extra level of care. Services offered vary between schemes, but meals and some personal care are often provided.)",73,,
SH03,Nursing Home for older persons,173,,
SH09,Other sheltered housing,190,,
,Other ,6,,
,Total,92653,,
