Table 3: ,The number of people in contact with adult mental health services (aged 18 to 69) and the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file) in 2020.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, the number of people in contact with adult mental health services (aged 18 to 69) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file).",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accommodation Status Code,Accommodation Status,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,,,,,,,,,,,,,
SH02,"Extra care sheltered housing (also known as 'very sheltered housing'. For people who are less able to manage on their own, but who do need an extra level of care. Services offered vary between schemes, but meals and some personal care are often provided.)",119,120,121,116,119,125,119,146,142,152,144,152,,,,,,,,,,,,,
SH03,Nursing Home for older persons,576,586,562,533,544,546,540,553,540,521,519,531,,,,,,,,,,,,,
SH09,Other sheltered housing,379,379,376,367,382,374,366,469,458,462,461,477,,,,,,,,,,,,,
,Other ,777,1133,1662,1612,2152,2577,2903,112,83,65,54,46,,,,,,,,,,,,,
,Total,279994,282434,276486,276600,274855,277124,278377,279162,278106,276433,274264,272609,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file).",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accommodation Status Code,Accommodation Status,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,,,,,,,,,,,,,
CH00,Accommodation with other (not specialist mental health) care support ,509,513,519,485,454,491,485,358,355,347,336,327,,,,,,,,,,,,,
CH01,Foyer - accommodation for young people aged 16-25 who are homeless or in housing need,14,15,16,15,14,14,12,13,15,18,18,19,,,,,,,,,,,,,
CH02,Refuge,47,48,54,57,56,65,56,68,71,71,70,70,,,,,,,,,,,,,
CH03,Non-Mental Health Registered Care Home ,123,126,125,119,119,118,127,152,153,143,137,139,,,,,,,,,,,,,
CH09,Other accommodation with care and support (not specialist mental health),313,298,301,290,287,289,286,365,394,404,387,378,,,,,,,,,,,,,
CJ00,Accommodation with criminal justice support ,179,195,186,169,159,174,173,104,112,107,105,101,,,,,,,,,,,,,
CJ01,Bail/Probation hostel,28,26,23,26,26,25,29,41,42,43,46,49,,,,,,,,,,,,,
CJ02,Prison,123,114,111,104,91,95,102,145,147,141,139,135,,,,,,,,,,,,,
CJ03,Young Offender Institution,2,2,2,2,1,1,1,1,1,0,0,1,,,,,,,,,,,,,
CJ04,Detention Centre,4,5,4,2,2,4,3,4,3,3,3,4,,,,,,,,,,,,,
CJ05,Young Offender Institution (15-17),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CJ06,Young Offender Institution (18-21),1,1,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,
CJ07,Secure Children's Home (Secure Welfare Accommodation only),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CJ08,Secure Children's Home (Youth Detention Accommodation only),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CJ10,Secure Children's Home (Secure Welfare Accommodation and Youth Detention Accommodation),0,0,0,0,0,1,1,1,1,2,1,0,,,,,,,,,,,,,
CJ11,Secure Training Centre,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CJ12,Other accommodation with criminal justice support,3,1,4,3,3,3,6,9,9,10,11,11,,,,,,,,,,,,,
HM00,Homeless ,1062,1084,1059,1044,1027,1080,1050,778,747,734,744,727,,,,,,,,,,,,,
HM01,Rough sleeper,114,110,111,114,100,110,105,127,122,120,114,122,,,,,,,,,,,,,
HM02,Squatting,171,175,173,158,149,155,158,160,170,171,163,155,,,,,,,,,,,,,
HM03,"Night shelter/emergency hostel/Direct access hostel (temporary accommodation accepting self referrals, no waiting list and relatively frequent vacancies)",316,301,299,293,279,293,305,323,316,302,310,324,,,,,,,,,,,,,
HM04,Sofa surfing (sleeps on different friends floor each night),162,167,155,148,142,143,150,186,192,189,180,181,,,,,,,,,,,,,
HM05,Placed in temporary accommodation by Local Authority (including Homelessness resettlement service) e.g. Bed and Breakfast accommodation,824,818,799,798,782,814,813,856,889,906,926,915,,,,,,,,,,,,,
HM06,Staying with friends/family as a short term guest,1305,1289,1272,1261,1236,1270,1291,1320,1345,1308,1269,1355,,,,,,,,,,,,,
HM07,Other homeless,408,403,445,395,408,392,376,463,463,442,444,442,,,,,,,,,,,,,
HS00,Acute/long stay healthcare residential facility/hospital ,1163,1151,1139,1137,1135,1143,1155,664,648,609,566,557,,,,,,,,,,,,,
HS01,NHS acute psychiatric ward,423,427,408,395,388,400,404,456,465,471,470,495,,,,,,,,,,,,,
HS02,Independent hospital/clinic,394,403,407,385,398,410,411,468,469,456,473,469,,,,,,,,,,,,,
HS03,Specialist rehabilitation/recovery,629,625,629,621,600,649,648,733,738,762,757,778,,,,,,,,,,,,,
HS04,Secure psychiatric unit,2603,2581,2597,2551,2528,2528,2559,2755,2764,2738,2700,2743,,,,,,,,,,,,,
HS05,Other NHS facilities/hospital,322,302,306,302,287,296,288,310,294,284,277,273,,,,,,,,,,,,,
HS09,Other acute/long stay healthcare residential facility/hospital,228,235,222,218,218,213,216,268,267,273,269,271,,,,,,,,,,,,,
MA00,Mainstream Housing ,20182,20103,19978,20083,19472,20068,20056,14825,14346,13530,13009,12597,,,,,,,,,,,,,
MA01,Owner occupier,7685,7708,7715,7388,7405,7581,7638,8147,8105,8028,7968,8030,,,,,,,,,,,,,
MA02,Settled mainstream housing with family/friends,11273,11178,11209,11084,11068,11460,11495,12683,12733,12619,12469,12597,,,,,,,,,,,,,
MA03,Shared ownership scheme e.g. Social Homebuy Scheme (tenant purchase percentage of home value from landlord),113,106,111,111,104,110,106,118,120,116,119,117,,,,,,,,,,,,,
MA04,Tenant - Local Authority/Arms Length Management Organisation/Registered Landlord,8141,8097,8095,7926,7790,7917,7919,8664,8665,8648,8667,8697,,,,,,,,,,,,,
MA05,Tenant - Housing Association,9674,9510,9612,9394,9243,9394,9422,10784,10881,10731,10711,10748,,,,,,,,,,,,,
MA06,Tenant - private landlord,5207,5134,5246,5203,5179,5216,5212,5720,5884,5883,5890,5897,,,,,,,,,,,,,
MA09,Other mainstream housing,2740,2743,2698,2036,2039,2010,1963,2284,2325,2226,2211,2395,,,,,,,,,,,,,
MH00,Accommodation with mental health care support ,3282,3270,3205,3152,2855,3150,3169,2528,2445,2397,2370,2387,,,,,,,,,,,,,
MH01,Supported accommodation (accommodation supported by staff or resident caretaker),4449,4404,4506,4397,4261,4375,4419,4733,4733,4695,4691,4793,,,,,,,,,,,,,
MH02,Supported lodgings (lodgings supported by staff or resident caretaker),160,155,149,141,142,135,135,135,144,139,142,144,,,,,,,,,,,,,
MH03,Supported group home (supported by staff or resident caretaker),477,470,477,485,485,501,529,549,543,540,569,564,,,,,,,,,,,,,
MH04,Mental Health Registered Care Home ,1363,1368,1338,1328,1310,1361,1348,1428,1403,1357,1392,1376,,,,,,,,,,,,,
MH09,Other accommodation with mental health care and support,861,844,867,849,790,804,811,958,957,960,931,947,,,,,,,,,,,,,
ML00,Mobile accommodation ,66,65,60,56,57,64,69,68,63,60,56,62,,,,,,,,,,,,,
OC96,Not elsewhere classified,329,338,334,171,159,170,174,213,219,210,221,208,,,,,,,,,,,,,
OC97,Not specified,543,595,630,730,719,760,864,953,981,961,942,977,,,,,,,,,,,,,
OC98,Not applicable,130,133,129,88,75,79,78,123,120,126,134,140,,,,,,,,,,,,,
OC99,Not Known (Not Recorded),4918,5001,4818,4908,4792,5298,5435,5585,5689,5847,5942,6105,,,,,,,,,,,,,
SH00,"Sheltered Housing (accommodation with a scheme manager or warden living on the premises or nearby, contactable by an alarm system if necessary) ",389,389,381,359,373,362,365,272,268,246,239,239,,,,,,,,,,,,,
SH01,Sheltered housing for older persons,119,111,121,127,124,128,125,147,154,152,144,153,,,,,,,,,,,,,
SH02,"Extra care sheltered housing (also known as 'very sheltered housing'. For people who are less able to manage on their own, but who do need an extra level of care. Services offered vary between schemes, but meals and some personal care are often provided.)",64,62,60,61,64,66,62,73,71,72,71,70,,,,,,,,,,,,,
SH03,Nursing Home for older persons,208,217,217,207,206,196,204,215,203,179,181,178,,,,,,,,,,,,,
SH09,Other sheltered housing,135,132,125,121,119,123,121,188,191,189,186,193,,,,,,,,,,,,,
,Other ,232,227,229,240,245,278,286,19,15,14,8,7,,,,,,,,,,,,,
,Total,94210,93775,93676,91738,89966,92783,93216,92540,92450,90979,90178,90662,,,,,,,,,,,,,
