Table 1: ,The number of people in contact with adult mental health services (aged 18 to 69) and the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file) in 2018.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"In 2018, the number of people in contact with adult mental health services (aged 18 to 69) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Accommodation Status Code,Accommodation Status,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
,Total,268722,274459,273238,280304,278767,280495,276500,274276,276783,275973,276017,277169
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"In 2018, the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Accommodation Status Code,Accommodation Status,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
CH00,Accommodation with other (not specialist mental health) care support ,427,424,417,414,408,393,382,383,382,361,366,376
CH01,Foyer - accommodation for young people aged 16-25 who are homeless or in housing need,29,33,32,27,25,19,19,21,21,18,26,26
CH02,Refuge,57,64,61,64,61,69,69,74,68,66,60,61
CH03,Non-Mental Health Registered Care Home ,187,190,184,180,175,163,154,164,152,144,146,150
CH09,Other accommodation with care and support (not specialist mental health),427,420,420,398,390,459,449,447,444,441,408,413
CJ00,Accommodation with criminal justice support ,78,76,76,74,71,70,71,71,68,69,68,66
CJ01,Bail/Probation hostel,40,43,45,45,46,39,36,33,33,28,37,40
CJ02,Prison,216,217,214,201,202,197,193,176,177,167,159,165
CJ03,Young Offender Institution,2,3,3,3,3,3,4,2,2,3,3,4
CJ04,Detention Centre,1,2,2,2,3,2,2,2,4,6,5,4
CJ05,Young Offender Institution (15-17),0,0,0,0,0,0,0,0,0,0,0,0
CJ06,Young Offender Institution (18-21),0,0,0,0,0,0,0,0,0,0,0,0
CJ07,Secure Children's Home (Secure Welfare Accommodation only),0,0,0,0,0,0,0,0,0,0,0,0
CJ08,Secure Children's Home (Youth Detention Accommodation only),0,0,0,0,0,0,0,0,0,0,0,0
CJ10,Secure Children's Home (Secure Welfare Accommodation and Youth Detention Accommodation),0,0,0,0,0,0,0,0,0,0,0,0
CJ11,Secure Training Centre,0,0,0,0,0,0,0,0,0,0,0,0
CJ12,Other accommodation with criminal justice support,0,0,0,0,0,0,0,0,0,0,0,0
HM00,Homeless ,792,790,785,764,777,808,824,821,842,831,808,757
HM01,Rough sleeper,154,159,166,151,151,144,142,144,150,144,159,150
HM02,Squatting,130,135,139,139,147,149,130,132,143,152,155,159
HM03,"Night shelter/emergency hostel/Direct access hostel (temporary accommodation accepting self referrals, no waiting list and relatively frequent vacancies)",346,354,355,325,330,344,332,342,341,341,345,340
HM04,Sofa surfing (sleeps on different friends floor each night),226,231,225,209,212,202,205,196,201,206,201,202
HM05,Placed in temporary accommodation by Local Authority (including Homelessness resettlement service) e.g. Bed and Breakfast accommodation,849,858,861,824,822,820,819,826,864,875,897,898
HM06,Staying with friends/family as a short term guest,1846,1841,1820,1835,1842,1867,1751,1822,1736,1718,1657,1648
HM07,Other homeless,515,550,546,487,466,466,473,492,500,474,486,471
HS00,Acute/long stay healthcare residential facility/hospital ,766,770,763,738,724,713,673,643,632,618,598,613
HS01,NHS acute psychiatric ward,664,665,657,596,584,552,549,540,543,552,569,557
HS02,Independent hospital/clinic,501,519,509,461,486,449,452,459,453,453,431,443
HS03,Specialist rehabilitation/recovery,837,854,816,770,792,795,797,784,786,773,761,781
HS04,Secure psychiatric unit,2784,2803,2751,2704,2700,2553,2469,2470,2464,2447,2445,2425
HS05,Other NHS facilities/hospital,339,368,354,366,354,330,329,315,329,331,334,333
HS09,Other acute/long stay healthcare residential facility/hospital,282,295,284,271,257,262,257,272,278,276,279,286
MA00,Mainstream Housing ,12719,12781,12848,12863,12859,12809,12685,12852,12896,13088,13412,13610
MA01,Owner occupier,9685,10080,9932,9830,9807,9691,9463,9262,9255,9108,9015,8944
MA02,Settled mainstream housing with family/friends,12008,12521,12497,12272,12185,12395,12058,11927,12009,11764,11681,11824
MA03,Shared ownership scheme e.g. Social Homebuy Scheme (tenant purchase percentage of home value from landlord),163,174,167,160,166,153,152,149,155,155,146,149
MA04,Tenant - Local Authority/Arms Length Management Organisation/Registered Landlord,10456,10822,10603,10236,10070,10080,9839,9663,9974,9801,9757,9773
MA05,Tenant - Housing Association,12535,12904,12715,12167,11986,11877,11565,11282,11449,11222,11288,11397
MA06,Tenant - private landlord,6833,7028,7001,6730,6667,6735,6525,6412,6399,6236,6157,6131
MA09,Other mainstream housing,2857,2836,2789,2665,2636,2686,2600,2674,2649,2678,2766,2796
MH00,Accommodation with mental health care support ,2449,2438,2414,2376,2329,2311,2278,2201,2240,2177,2187,2198
MH01,Supported accommodation (accommodation supported by staff or resident caretaker),5044,5317,5323,5181,5217,5130,5005,4978,5046,4982,4996,5097
MH02,Supported lodgings (lodgings supported by staff or resident caretaker),207,197,187,184,188,175,174,174,172,170,159,162
MH03,Supported group home (supported by staff or resident caretaker),621,620,640,641,633,623,612,617,619,593,579,582
MH04,Mental Health Registered Care Home ,1727,1828,1792,1720,1698,1691,1669,1668,1714,1705,1681,1690
MH09,Other accommodation with mental health care and support,981,963,957,901,892,936,939,945,977,942,963,962
ML00,Mobile accommodation ,51,54,55,51,48,54,52,51,55,58,55,55
OC96,Not elsewhere classified,774,761,735,728,718,752,739,735,734,702,672,677
OC97,Not specified,1154,844,754,791,741,749,683,656,699,678,717,676
OC98,Not applicable,80,78,71,111,108,102,108,116,105,92,90,99
OC99,Not Known (Not Recorded),4795,4127,4166,4697,4710,4829,4795,4761,4706,4792,4643,4646
SH00,"Sheltered Housing (accommodation with a scheme manager or warden living on the premises or nearby, contactable by an alarm system if necessary) ",286,280,270,251,249,249,239,234,221,230,233,245
SH01,Sheltered housing for older persons,151,150,147,144,132,128,122,125,118,122,111,122
SH02,"Extra care sheltered housing (also known as 'very sheltered housing'. For people who are less able to manage on their own, but who do need an extra level of care. Services offered vary between schemes, but meals and some personal care are often provided.)",77,78,75,81,81,78,78,72,70,70,69,81
SH03,Nursing Home for older persons,265,262,255,260,253,255,243,231,230,227,215,223
SH09,Other sheltered housing,218,219,215,203,201,194,176,178,180,184,203,206
,Other ,32,31,30,26,23,27,28,27,27,27,29,27
,Total,98663,100057,99123,97317,96625,96577,94408,93621,94312,93297,93227,93740
