Table 2: ,The number of people in contact with adult mental health services (aged 18 to 69) and the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file) in 2019.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"In 2019, the number of people in contact with adult mental health services (aged 18 to 69) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Accommodation Status Code,Accommodation Status,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
SH09,Other sheltered housing,531,535,541,445,428,416,416,409,416,412,410,399
,Other ,59,60,60,630,597,563,555,545,513,513,629,713
,Total,277899,278233,277576,278423,279282,278964,278982,278019,279111,283757,286013,285700
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"In 2019, the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Accommodation Status Code,Accommodation Status,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
CH00,Accommodation with other (not specialist mental health) care support ,367,359,353,445,453,474,479,488,500,507,502,493
CH01,Foyer - accommodation for young people aged 16-25 who are homeless or in housing need,22,23,22,18,18,15,19,17,19,19,18,16
CH02,Refuge,59,61,60,53,51,52,51,49,48,49,52,50
CH03,Non-Mental Health Registered Care Home ,149,144,151,112,105,110,108,107,97,108,112,113
CH09,Other accommodation with care and support (not specialist mental health),409,440,446,324,297,306,318,309,310,330,340,321
CJ00,Accommodation with criminal justice support ,67,70,66,144,160,165,161,164,170,261,176,185
CJ01,Bail/Probation hostel,38,41,39,30,25,29,29,32,42,37,37,31
CJ02,Prison,163,166,158,117,118,119,117,114,111,112,122,127
CJ03,Young Offender Institution,3,3,4,2,2,2,1,1,1,2,2,2
CJ04,Detention Centre,3,4,5,6,6,6,7,6,4,4,5,5
CJ05,Young Offender Institution (15-17),0,0,0,0,0,0,0,0,0,0,0,0
CJ06,Young Offender Institution (18-21),0,0,0,0,0,0,0,0,1,1,1,1
CJ07,Secure Children's Home (Secure Welfare Accommodation only),0,0,0,0,0,0,0,0,0,0,0,0
CJ08,Secure Children's Home (Youth Detention Accommodation only),0,0,0,0,0,0,0,0,0,0,0,0
CJ10,Secure Children's Home (Secure Welfare Accommodation and Youth Detention Accommodation),0,0,0,0,0,0,0,0,0,0,0,0
CJ11,Secure Training Centre,0,0,0,0,0,0,0,0,0,0,0,0
CJ12,Other accommodation with criminal justice support,0,0,0,7,6,6,5,6,4,3,3,3
HM00,Homeless ,764,762,774,970,1000,1015,1021,1049,1048,1107,1077,1081
HM01,Rough sleeper,136,137,134,113,119,118,119,123,130,130,137,133
HM02,Squatting,170,176,168,168,158,160,152,154,163,166,171,179
HM03,"Night shelter/emergency hostel/Direct access hostel (temporary accommodation accepting self referrals, no waiting list and relatively frequent vacancies)",344,350,359,322,322,313,306,305,315,317,319,315
HM04,Sofa surfing (sleeps on different friends floor each night),215,213,214,183,174,171,167,173,176,176,184,167
HM05,Placed in temporary accommodation by Local Authority (including Homelessness resettlement service) e.g. Bed and Breakfast accommodation,924,928,926,872,920,909,881,875,857,867,878,881
HM06,Staying with friends/family as a short term guest,1592,1568,1496,1430,1410,1383,1395,1362,1393,1409,1404,1336
HM07,Other homeless,475,487,494,430,415,419,414,405,400,398,437,424
HS00,Acute/long stay healthcare residential facility/hospital ,614,602,600,1082,1130,1135,1135,1138,1134,1218,1135,1158
HS01,NHS acute psychiatric ward,550,545,559,441,447,445,445,441,431,428,428,433
HS02,Independent hospital/clinic,440,425,427,409,395,411,400,388,367,382,380,379
HS03,Specialist rehabilitation/recovery,781,773,752,660,645,627,632,632,649,661,646,645
HS04,Secure psychiatric unit,2539,2601,2627,2454,2446,2447,2469,2494,2535,2567,2595,2585
HS05,Other NHS facilities/hospital,356,359,363,367,368,350,366,382,376,371,362,356
HS09,Other acute/long stay healthcare residential facility/hospital,291,292,276,199,203,214,220,215,214,221,232,221
MA00,Mainstream Housing ,13668,13908,13782,18851,19470,19907,20264,20274,20516,20808,20155,20303
MA01,Owner occupier,8950,8969,8851,8033,7992,7908,7881,7791,7806,7936,7945,7864
MA02,Settled mainstream housing with family/friends,11965,12165,12182,11310,11207,11063,11111,11005,10979,11355,11452,11428
MA03,Shared ownership scheme e.g. Social Homebuy Scheme (tenant purchase percentage of home value from landlord),152,154,156,132,129,131,131,134,134,136,128,129
MA04,Tenant - Local Authority/Arms Length Management Organisation/Registered Landlord,9648,9659,9482,8827,8669,8595,8466,8370,8206,8274,8310,8282
MA05,Tenant - Housing Association,11307,11499,11476,10090,10025,9893,9848,9784,9672,9829,9850,9733
MA06,Tenant - private landlord,6164,6238,6146,5590,5562,5428,5396,5298,5246,5327,5369,5284
MA09,Other mainstream housing,2800,2881,2927,2233,1994,1968,2004,1934,1893,2701,2799,2779
MH00,Accommodation with mental health care support ,2214,2162,2192,2821,3009,3030,3072,3062,3075,3612,3123,3129
MH01,Supported accommodation (accommodation supported by staff or resident caretaker),5107,5155,5115,4639,4467,4499,4509,4445,4479,4579,4583,4539
MH02,Supported lodgings (lodgings supported by staff or resident caretaker),167,188,189,168,170,164,167,168,166,167,172,168
MH03,Supported group home (supported by staff or resident caretaker),589,582,564,516,515,501,499,473,479,492,481,464
MH04,Mental Health Registered Care Home ,1710,1705,1694,1529,1504,1464,1439,1409,1415,1440,1416,1374
MH09,Other accommodation with mental health care and support,963,1004,988,915,912,890,866,852,867,875,880,887
ML00,Mobile accommodation ,52,56,62,64,66,65,69,72,70,96,73,68
OC96,Not elsewhere classified,666,663,660,420,365,366,354,362,351,337,340,329
OC97,Not specified,668,654,664,482,503,510,507,486,460,476,490,517
OC98,Not applicable,110,118,113,110,119,129,126,142,131,124,117,125
OC99,Not Known (Not Recorded),4675,4665,4642,4800,4808,4793,4911,4892,4870,4989,4793,4779
SH00,"Sheltered Housing (accommodation with a scheme manager or warden living on the premises or nearby, contactable by an alarm system if necessary) ",260,255,254,334,339,350,350,356,364,378,396,398
SH01,Sheltered housing for older persons,120,138,149,134,125,118,133,128,131,132,119,120
SH02,"Extra care sheltered housing (also known as 'very sheltered housing'. For people who are less able to manage on their own, but who do need an extra level of care. Services offered vary between schemes, but meals and some personal care are often provided.)",76,81,79,60,59,55,59,57,59,62,64,60
SH03,Nursing Home for older persons,234,226,224,218,222,204,209,212,208,216,226,219
SH09,Other sheltered housing,208,211,216,163,159,153,152,151,150,152,143,132
,Other ,30,29,31,201,193,194,198,197,196,195,209,232
,Total,93974,94894,94311,93998,93976,93779,94138,93483,93418,96539,95388,94982
