Measure,ReportingPeriodEndDate,AccommodationStatusCode,Number of Patients
Total number of people in contact with adult mental health services,31/12/2019,CJ00,2
Total number of people in contact with adult mental health services,31/01/2020,CJ00,2
Total number of people in contact with adult mental health services,29/02/2020,CJ00,2
Total number of people in contact with adult mental health services,31/03/2020,CJ00,3
Total number of people in contact with adult mental health services,30/04/2020,CJ00,2
Total number of people in contact with adult mental health services,31/05/2020,CJ00,2
Total number of people in contact with adult mental health services,30/06/2020,CJ00,2
Total number of people in contact with adult mental health services,31/07/2020,CJ00,2
Total number of people in contact with adult mental health services,31/08/2020,CJ00,1
Total number of people in contact with adult mental health services,30/09/2020,CJ00,2
Total number of people in contact with adult mental health services,31/10/2020,CJ00,3
Total number of people in contact with adult mental health services,30/11/2020,CJ00,3
Total number of people in contact with adult mental health services,31/12/2020,CJ00,5
Total number of people in contact with adult mental health services,31/01/2021,CJ00,5
Total number of people in contact with adult mental health services,31/01/2018,CJ01,5
Total number of people in contact with adult mental health services,28/02/2018,CJ01,4
Total number of people in contact with adult mental health services,31/03/2018,CJ01,7
Total number of people in contact with adult mental health services,31/05/2018,CJ01,9
Total number of people in contact with adult mental health services,31/07/2018,CJ01,8
Total number of people in contact with adult mental health services,31/08/2018,CJ01,10
Total number of people in contact with adult mental health services,30/09/2018,CJ01,10
Total number of people in contact with adult mental health services,31/10/2018,CJ01,9
Total number of people in contact with adult mental health services,30/11/2018,CJ01,10
Total number of people in contact with adult mental health services,31/12/2018,CJ01,7
Total number of people in contact with adult mental health services,31/01/2019,CJ01,6
Total number of people in contact with adult mental health services,28/02/2019,CJ01,6
Total number of people in contact with adult mental health services,31/03/2019,CJ01,6
Total number of people in contact with adult mental health services,30/04/2019,CJ01,6
Total number of people in contact with adult mental health services,31/05/2019,CJ01,5
Total number of people in contact with adult mental health services,30/06/2019,CJ01,6
Total number of people in contact with adult mental health services,31/07/2019,CJ01,9
Total number of people in contact with adult mental health services,31/08/2019,CJ01,6
Total number of people in contact with adult mental health services,30/09/2019,CJ01,5
Total number of people in contact with adult mental health services,31/10/2019,CJ01,5
Total number of people in contact with adult mental health services,30/11/2019,CJ01,4
Total number of people in contact with adult mental health services,31/12/2019,CJ01,4
Total number of people in contact with adult mental health services,31/01/2020,CJ01,5
Total number of people in contact with adult mental health services,29/02/2020,CJ01,6
Total number of people in contact with adult mental health services,31/03/2020,CJ01,4
Total number of people in contact with adult mental health services,30/04/2020,CJ01,4
Total number of people in contact with adult mental health services,31/05/2020,CJ01,5
Total number of people in contact with adult mental health services,30/06/2020,CJ01,5
Total number of people in contact with adult mental health services,31/07/2020,CJ01,6
Total number of people in contact with adult mental health services,31/08/2020,CJ01,6
Total number of people in contact with adult mental health services,30/09/2020,CJ01,6
Total number of people in contact with adult mental health services,31/10/2020,CJ01,6
Total number of people in contact with adult mental health services,30/11/2020,CJ01,5
Total number of people in contact with adult mental health services,31/12/2020,CJ01,5
Total number of people in contact with adult mental health services,31/01/2021,CJ01,5
Total number of people in contact with adult mental health services,31/01/2018,CJ02,19
Total number of people in contact with adult mental health services,28/02/2018,CJ02,19
Total number of people in contact with adult mental health services,31/03/2018,CJ02,20
Total number of people in contact with adult mental health services,31/05/2018,CJ02,16
Total number of people in contact with adult mental health services,31/07/2018,CJ02,17
Total number of people in contact with adult mental health services,31/08/2018,CJ02,15
Total number of people in contact with adult mental health services,30/09/2018,CJ02,14
Total number of people in contact with adult mental health services,31/10/2018,CJ02,15
Total number of people in contact with adult mental health services,30/11/2018,CJ02,17
Total number of people in contact with adult mental health services,31/12/2018,CJ02,15
Total number of people in contact with adult mental health services,31/01/2019,CJ02,17
Total number of people in contact with adult mental health services,28/02/2019,CJ02,17
Total number of people in contact with adult mental health services,31/03/2019,CJ02,16
Total number of people in contact with adult mental health services,30/04/2019,CJ02,16
Total number of people in contact with adult mental health services,31/05/2019,CJ02,18
Total number of people in contact with adult mental health services,30/06/2019,CJ02,18
Total number of people in contact with adult mental health services,31/07/2019,CJ02,23
Total number of people in contact with adult mental health services,31/08/2019,CJ02,23
Total number of people in contact with adult mental health services,30/09/2019,CJ02,22
Total number of people in contact with adult mental health services,31/10/2019,CJ02,23
Total number of people in contact with adult mental health services,30/11/2019,CJ02,24
Total number of people in contact with adult mental health services,31/12/2019,CJ02,24
Total number of people in contact with adult mental health services,31/01/2020,CJ02,24
Total number of people in contact with adult mental health services,29/02/2020,CJ02,25
Total number of people in contact with adult mental health services,31/03/2020,CJ02,22
Total number of people in contact with adult mental health services,30/04/2020,CJ02,24
Total number of people in contact with adult mental health services,31/05/2020,CJ02,23
Total number of people in contact with adult mental health services,30/06/2020,CJ02,22
Total number of people in contact with adult mental health services,31/07/2020,CJ02,21
Total number of people in contact with adult mental health services,31/08/2020,CJ02,22
Total number of people in contact with adult mental health services,30/09/2020,CJ02,20
Total number of people in contact with adult mental health services,31/10/2020,CJ02,18
Total number of people in contact with adult mental health services,30/11/2020,CJ02,17
Total number of people in contact with adult mental health services,31/12/2020,CJ02,16
Total number of people in contact with adult mental health services,31/01/2021,CJ02,18
Total number of people in contact with adult mental health services,31/01/2018,CJ04,1
Total number of people in contact with adult mental health services,28/02/2018,CJ04,1
Total number of people in contact with adult mental health services,31/03/2018,CJ04,1
Total number of people in contact with adult mental health services,31/05/2018,CJ04,1
Total number of people in contact with adult mental health services,31/07/2018,CJ04,1
Total number of people in contact with adult mental health services,31/08/2018,CJ04,1
Total number of people in contact with adult mental health services,30/09/2018,CJ04,1
Total number of people in contact with adult mental health services,31/10/2018,CJ04,1
Total number of people in contact with adult mental health services,30/11/2018,CJ04,1
Total number of people in contact with adult mental health services,31/12/2018,CJ04,1
Total number of people in contact with adult mental health services,31/01/2019,CJ04,1
Total number of people in contact with adult mental health services,28/02/2019,CJ04,1
Total number of people in contact with adult mental health services,31/03/2019,CJ04,1
Total number of people in contact with adult mental health services,30/04/2019,CJ04,1
Total number of people in contact with adult mental health services,31/05/2019,CJ04,1
Total number of people in contact with adult mental health services,30/06/2019,CJ04,2
Total number of people in contact with adult mental health services,31/07/2019,CJ04,2
Total number of people in contact with adult mental health services,31/08/2019,CJ04,2
Total number of people in contact with adult mental health services,30/09/2019,CJ04,2
Total number of people in contact with adult mental health services,31/10/2019,CJ04,2
Total number of people in contact with adult mental health services,30/11/2019,CJ04,1
Total number of people in contact with adult mental health services,31/12/2019,CJ04,1
Total number of people in contact with adult mental health services,31/01/2020,CJ04,1
Total number of people in contact with adult mental health services,29/02/2020,CJ04,1
Total number of people in contact with adult mental health services,31/03/2020,CJ04,1
Total number of people in contact with adult mental health services,30/04/2020,CJ04,1
Total number of people in contact with adult mental health services,31/05/2020,CJ04,2
Total number of people in contact with adult mental health services,30/06/2020,CJ04,2
Total number of people in contact with adult mental health services,31/07/2020,CJ04,2
Total number of people in contact with adult mental health services,31/08/2020,CJ04,1
Total number of people in contact with adult mental health services,30/09/2020,CJ04,1
Total number of people in contact with adult mental health services,31/01/2021,CJ04,1
Total number of people in contact with adult mental health services,31/01/2018,CJ09,1
Total number of people in contact with adult mental health services,28/02/2018,CJ09,1
Total number of people in contact with adult mental health services,31/03/2018,CJ09,1
Total number of people in contact with adult mental health services,31/05/2018,CJ09,1
Total number of people in contact with adult mental health services,31/07/2018,CJ09,1
Total number of people in contact with adult mental health services,31/08/2018,CJ09,1
Total number of people in contact with adult mental health services,30/09/2018,CJ09,2
Total number of people in contact with adult mental health services,31/10/2018,CJ09,4
Total number of people in contact with adult mental health services,30/11/2018,CJ09,4
Total number of people in contact with adult mental health services,31/12/2018,CJ09,4
Total number of people in contact with adult mental health services,31/01/2019,CJ09,4
Total number of people in contact with adult mental health services,28/02/2019,CJ09,4
Total number of people in contact with adult mental health services,31/03/2019,CJ09,4
Total number of people in contact with adult mental health services,30/04/2019,CJ09,3
Total number of people in contact with adult mental health services,31/05/2019,CJ09,3
Total number of people in contact with adult mental health services,30/06/2019,CJ09,3
Total number of people in contact with adult mental health services,31/07/2019,CJ09,3
Total number of people in contact with adult mental health services,31/08/2019,CJ12,3
Total number of people in contact with adult mental health services,30/09/2019,CJ12,3
Total number of people in contact with adult mental health services,31/10/2019,CJ12,3
Total number of people in contact with adult mental health services,30/11/2019,CJ12,2
Total number of people in contact with adult mental health services,31/12/2019,CJ12,2
Total number of people in contact with adult mental health services,31/01/2020,CJ12,2
Total number of people in contact with adult mental health services,29/02/2020,CJ12,2
Total number of people in contact with adult mental health services,31/03/2020,CJ12,2
Total number of people in contact with adult mental health services,30/04/2020,CJ12,2
Total number of people in contact with adult mental health services,31/05/2020,CJ12,3
Total number of people in contact with adult mental health services,30/06/2020,CJ12,2
Total number of people in contact with adult mental health services,31/07/2020,CJ12,1
Total number of people in contact with adult mental health services,31/08/2020,CJ12,1
Total number of people in contact with adult mental health services,30/09/2020,CJ12,1
Total number of people in contact with adult mental health services,31/10/2020,CJ12,1
Total number of people in contact with adult mental health services,30/11/2020,CJ12,1
Total number of people in contact with adult mental health services,31/12/2020,CJ12,1
Total number of people in contact with adult mental health services,31/01/2021,CJ12,1
Total number of people in contact with adult mental health services,31/01/2018,HM00,52
Total number of people in contact with adult mental health services,28/02/2018,HM00,53
Total number of people in contact with adult mental health services,31/03/2018,HM00,57
Total number of people in contact with adult mental health services,31/05/2018,HM00,56
Total number of people in contact with adult mental health services,31/07/2018,HM00,63
Total number of people in contact with adult mental health services,31/08/2018,HM00,66
Total number of people in contact with adult mental health services,30/09/2018,HM00,65
Total number of people in contact with adult mental health services,31/10/2018,HM00,67
Total number of people in contact with adult mental health services,30/11/2018,HM00,60
Total number of people in contact with adult mental health services,31/12/2018,HM00,59
Total number of people in contact with adult mental health services,31/01/2019,HM00,55
Total number of people in contact with adult mental health services,28/02/2019,HM00,54
Total number of people in contact with adult mental health services,31/03/2019,HM00,50
Total number of people in contact with adult mental health services,30/04/2019,HM00,46
Total number of people in contact with adult mental health services,31/05/2019,HM00,49
Total number of people in contact with adult mental health services,30/06/2019,HM00,48
Total number of people in contact with adult mental health services,31/07/2019,HM00,63
Total number of people in contact with adult mental health services,31/08/2019,HM00,61
Total number of people in contact with adult mental health services,30/09/2019,HM00,64
Total number of people in contact with adult mental health services,31/10/2019,HM00,73
Total number of people in contact with adult mental health services,30/11/2019,HM00,70
Total number of people in contact with adult mental health services,31/12/2019,HM00,75
Total number of people in contact with adult mental health services,31/01/2020,HM00,71
Total number of people in contact with adult mental health services,29/02/2020,HM00,74
Total number of people in contact with adult mental health services,31/03/2020,HM00,73
Total number of people in contact with adult mental health services,30/04/2020,HM00,58
Total number of people in contact with adult mental health services,31/05/2020,HM00,61
Total number of people in contact with adult mental health services,30/06/2020,HM00,59
Total number of people in contact with adult mental health services,31/07/2020,HM00,71
Total number of people in contact with adult mental health services,31/08/2020,HM00,68
Total number of people in contact with adult mental health services,30/09/2020,HM00,75
Total number of people in contact with adult mental health services,31/10/2020,HM00,74
Total number of people in contact with adult mental health services,30/11/2020,HM00,71
Total number of people in contact with adult mental health services,31/12/2020,HM00,76
Total number of people in contact with adult mental health services,31/01/2021,HM00,72
Total number of people in contact with adult mental health services,31/01/2018,HM01,1
Total number of people in contact with adult mental health services,31/07/2018,HM01,2
Total number of people in contact with adult mental health services,31/08/2018,HM01,1
Total number of people in contact with adult mental health services,30/09/2018,HM01,1
Total number of people in contact with adult mental health services,31/10/2018,HM01,1
Total number of people in contact with adult mental health services,30/11/2018,HM01,1
Total number of people in contact with adult mental health services,31/12/2018,HM01,1
Total number of people in contact with adult mental health services,31/01/2019,HM01,2
Total number of people in contact with adult mental health services,28/02/2019,HM01,2
Total number of people in contact with adult mental health services,31/03/2019,HM01,3
Total number of people in contact with adult mental health services,30/04/2019,HM01,2
Total number of people in contact with adult mental health services,31/05/2019,HM01,2
Total number of people in contact with adult mental health services,30/06/2019,HM01,2
Total number of people in contact with adult mental health services,31/07/2019,HM01,2
Total number of people in contact with adult mental health services,31/08/2019,HM01,2
Total number of people in contact with adult mental health services,30/09/2019,HM01,3
Total number of people in contact with adult mental health services,31/10/2019,HM01,3
Total number of people in contact with adult mental health services,30/11/2019,HM01,2
Total number of people in contact with adult mental health services,31/12/2019,HM01,2
Total number of people in contact with adult mental health services,31/01/2020,HM01,2
Total number of people in contact with adult mental health services,29/02/2020,HM01,2
Total number of people in contact with adult mental health services,31/03/2020,HM01,1
Total number of people in contact with adult mental health services,30/04/2020,HM01,1
Total number of people in contact with adult mental health services,31/05/2020,HM01,1
Total number of people in contact with adult mental health services,30/06/2020,HM01,1
Total number of people in contact with adult mental health services,31/07/2020,HM01,1
Total number of people in contact with adult mental health services,31/08/2020,HM01,1
Total number of people in contact with adult mental health services,30/09/2020,HM01,1
Total number of people in contact with adult mental health services,31/10/2020,HM01,2
Total number of people in contact with adult mental health services,30/11/2020,HM01,2
Total number of people in contact with adult mental health services,31/12/2020,HM01,2
Total number of people in contact with adult mental health services,31/01/2021,HM01,2
Total number of people in contact with adult mental health services,31/08/2019,HM02,1
Total number of people in contact with adult mental health services,30/09/2019,HM02,1
Total number of people in contact with adult mental health services,31/01/2018,HM03,3
Total number of people in contact with adult mental health services,28/02/2018,HM03,4
Total number of people in contact with adult mental health services,31/03/2018,HM03,4
Total number of people in contact with adult mental health services,31/05/2018,HM03,3
Total number of people in contact with adult mental health services,31/07/2018,HM03,3
Total number of people in contact with adult mental health services,31/08/2018,HM03,3
Total number of people in contact with adult mental health services,30/09/2018,HM03,6
Total number of people in contact with adult mental health services,31/10/2018,HM03,5
Total number of people in contact with adult mental health services,30/11/2018,HM03,4
Total number of people in contact with adult mental health services,31/12/2018,HM03,4
Total number of people in contact with adult mental health services,31/01/2019,HM03,3
Total number of people in contact with adult mental health services,28/02/2019,HM03,3
Total number of people in contact with adult mental health services,31/03/2019,HM03,4
Total number of people in contact with adult mental health services,30/04/2019,HM03,5
Total number of people in contact with adult mental health services,31/05/2019,HM03,3
Total number of people in contact with adult mental health services,30/06/2019,HM03,1
Total number of people in contact with adult mental health services,31/07/2019,HM03,5
Total number of people in contact with adult mental health services,31/08/2019,HM03,6
Total number of people in contact with adult mental health services,30/09/2019,HM03,6
Total number of people in contact with adult mental health services,31/10/2019,HM03,10
Total number of people in contact with adult mental health services,30/11/2019,HM03,8
Total number of people in contact with adult mental health services,31/12/2019,HM03,10
Total number of people in contact with adult mental health services,31/01/2020,HM03,9
Total number of people in contact with adult mental health services,29/02/2020,HM03,6
Total number of people in contact with adult mental health services,31/03/2020,HM03,8
Total number of people in contact with adult mental health services,30/04/2020,HM03,7
Total number of people in contact with adult mental health services,31/05/2020,HM03,8
Total number of people in contact with adult mental health services,30/06/2020,HM03,8
Total number of people in contact with adult mental health services,31/07/2020,HM03,7
Total number of people in contact with adult mental health services,31/08/2020,HM03,7
Total number of people in contact with adult mental health services,30/09/2020,HM03,7
Total number of people in contact with adult mental health services,31/10/2020,HM03,9
Total number of people in contact with adult mental health services,30/11/2020,HM03,8
Total number of people in contact with adult mental health services,31/12/2020,HM03,8
Total number of people in contact with adult mental health services,31/01/2021,HM03,10
Total number of people in contact with adult mental health services,31/01/2018,HM04,26
Total number of people in contact with adult mental health services,28/02/2018,HM04,25
Total number of people in contact with adult mental health services,31/03/2018,HM04,23
Total number of people in contact with adult mental health services,31/05/2018,HM04,24
Total number of people in contact with adult mental health services,31/07/2018,HM04,23
Total number of people in contact with adult mental health services,31/08/2018,HM04,22
Total number of people in contact with adult mental health services,30/09/2018,HM04,26
Total number of people in contact with adult mental health services,31/10/2018,HM04,26
Total number of people in contact with adult mental health services,30/11/2018,HM04,25
Total number of people in contact with adult mental health services,31/12/2018,HM04,26
Total number of people in contact with adult mental health services,31/01/2019,HM04,27
Total number of people in contact with adult mental health services,28/02/2019,HM04,27
Total number of people in contact with adult mental health services,31/03/2019,HM04,27
Total number of people in contact with adult mental health services,30/04/2019,HM04,23
Total number of people in contact with adult mental health services,31/05/2019,HM04,23
Total number of people in contact with adult mental health services,30/06/2019,HM04,20
Total number of people in contact with adult mental health services,31/07/2019,HM04,31
Total number of people in contact with adult mental health services,31/08/2019,HM04,36
Total number of people in contact with adult mental health services,30/09/2019,HM04,33
Total number of people in contact with adult mental health services,31/10/2019,HM04,35
Total number of people in contact with adult mental health services,30/11/2019,HM04,38
Total number of people in contact with adult mental health services,31/12/2019,HM04,35
Total number of people in contact with adult mental health services,31/01/2020,HM04,33
Total number of people in contact with adult mental health services,29/02/2020,HM04,36
Total number of people in contact with adult mental health services,31/03/2020,HM04,33
Total number of people in contact with adult mental health services,30/04/2020,HM04,33
Total number of people in contact with adult mental health services,31/05/2020,HM04,31
Total number of people in contact with adult mental health services,30/06/2020,HM04,30
Total number of people in contact with adult mental health services,31/07/2020,HM04,33
Total number of people in contact with adult mental health services,31/08/2020,HM04,30
Total number of people in contact with adult mental health services,30/09/2020,HM04,31
Total number of people in contact with adult mental health services,31/10/2020,HM04,27
Total number of people in contact with adult mental health services,30/11/2020,HM04,29
Total number of people in contact with adult mental health services,31/12/2020,HM04,32
Total number of people in contact with adult mental health services,31/01/2021,HM04,30
Total number of people in contact with adult mental health services,31/01/2018,HM05,16
Total number of people in contact with adult mental health services,28/02/2018,HM05,19
Total number of people in contact with adult mental health services,31/03/2018,HM05,16
Total number of people in contact with adult mental health services,31/05/2018,HM05,17
Total number of people in contact with adult mental health services,31/07/2018,HM05,20
Total number of people in contact with adult mental health services,31/08/2018,HM05,20
Total number of people in contact with adult mental health services,30/09/2018,HM05,17
Total number of people in contact with adult mental health services,31/10/2018,HM05,19
Total number of people in contact with adult mental health services,30/11/2018,HM05,17
Total number of people in contact with adult mental health services,31/12/2018,HM05,14
Total number of people in contact with adult mental health services,31/01/2019,HM05,15
Total number of people in contact with adult mental health services,28/02/2019,HM05,14
Total number of people in contact with adult mental health services,31/03/2019,HM05,14
Total number of people in contact with adult mental health services,30/04/2019,HM05,10
Total number of people in contact with adult mental health services,31/05/2019,HM05,10
Total number of people in contact with adult mental health services,30/06/2019,HM05,10
Total number of people in contact with adult mental health services,31/07/2019,HM05,14
Total number of people in contact with adult mental health services,31/08/2019,HM05,15
Total number of people in contact with adult mental health services,30/09/2019,HM05,14
Total number of people in contact with adult mental health services,31/10/2019,HM05,17
Total number of people in contact with adult mental health services,30/11/2019,HM05,18
Total number of people in contact with adult mental health services,31/12/2019,HM05,15
Total number of people in contact with adult mental health services,31/01/2020,HM05,15
Total number of people in contact with adult mental health services,29/02/2020,HM05,18
Total number of people in contact with adult mental health services,31/03/2020,HM05,18
Total number of people in contact with adult mental health services,30/04/2020,HM05,16
Total number of people in contact with adult mental health services,31/05/2020,HM05,22
Total number of people in contact with adult mental health services,30/06/2020,HM05,24
Total number of people in contact with adult mental health services,31/07/2020,HM05,23
Total number of people in contact with adult mental health services,31/08/2020,HM05,18
Total number of people in contact with adult mental health services,30/09/2020,HM05,21
Total number of people in contact with adult mental health services,31/10/2020,HM05,22
Total number of people in contact with adult mental health services,30/11/2020,HM05,25
Total number of people in contact with adult mental health services,31/12/2020,HM05,22
Total number of people in contact with adult mental health services,31/01/2021,HM05,24
