AgeBand,CareLevelGroup,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ12,5
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,HM05,1
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ03,4
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ01,77
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ04,1
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ02,195
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HM07,4
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HM03,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,CJ02,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS02,118
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MA09,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,OC97,2
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS09,134
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MH02,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS04,323
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS05,54
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS01,313
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MH04,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MH01,2
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS03,186
18+ Adult,CPA GROUP,HOMELESS,CH02,1
18+ Adult,CPA GROUP,HOMELESS,HM07,291
18+ Adult,CPA GROUP,HOMELESS,SH09,1
18+ Adult,CPA GROUP,HOMELESS,HM03,86
18+ Adult,CPA GROUP,HOMELESS,HM05,156
18+ Adult,CPA GROUP,HOMELESS,MA09,3
18+ Adult,CPA GROUP,HOMELESS,HM06,160
18+ Adult,CPA GROUP,HOMELESS,HS05,1
18+ Adult,CPA GROUP,HOMELESS,HS01,1
18+ Adult,CPA GROUP,HOMELESS,MA06,1
18+ Adult,CPA GROUP,HOMELESS,HM01,79
18+ Adult,CPA GROUP,HOMELESS,OC97,1
18+ Adult,CPA GROUP,HOMELESS,MA02,2
18+ Adult,CPA GROUP,HOMELESS,HM04,96
18+ Adult,CPA GROUP,HOMELESS,OC99,1
18+ Adult,CPA GROUP,HOMELESS,OC96,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HM03,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA01,1045
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA06,826
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,OC98,2
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA05,1844
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HM06,11
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA09,558
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HM07,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA04,1397
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,OC97,6
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,OC99,3
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA03,35
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,SH09,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HM05,2
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HS02,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA02,1808
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MH01,3
18+ Adult,CPA GROUP,MOBILE ACCOMMODATION,ML00,1
18+ Adult,CPA GROUP,OTHER,CH09,1
18+ Adult,CPA GROUP,OTHER,MA05,1
18+ Adult,CPA GROUP,OTHER,HM01,1
18+ Adult,CPA GROUP,OTHER,HM06,3
18+ Adult,CPA GROUP,OTHER,HM07,3
18+ Adult,CPA GROUP,OTHER,CH01,1
18+ Adult,CPA GROUP,OTHER,MH04,1
18+ Adult,CPA GROUP,OTHER,HM05,3
18+ Adult,CPA GROUP,OTHER,OC99,313
18+ Adult,CPA GROUP,OTHER,MA04,1
18+ Adult,CPA GROUP,OTHER,HM03,3
18+ Adult,CPA GROUP,OTHER,MA09,10
18+ Adult,CPA GROUP,OTHER,CJ02,1
18+ Adult,CPA GROUP,OTHER,OC98,77
18+ Adult,CPA GROUP,OTHER,HM04,2
18+ Adult,CPA GROUP,OTHER,MA06,3
18+ Adult,CPA GROUP,OTHER,HS09,1
18+ Adult,CPA GROUP,OTHER,HS03,1
18+ Adult,CPA GROUP,OTHER,OC97,298
18+ Adult,CPA GROUP,OTHER,MA02,4
18+ Adult,CPA GROUP,OTHER,MA01,1
18+ Adult,CPA GROUP,OTHER,MH01,2
18+ Adult,CPA GROUP,OTHER,OC96,93
18+ Adult,CPA GROUP,SHELTERED HOUSING,MA04,2
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH03,13
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH09,115
18+ Adult,CPA GROUP,SHELTERED HOUSING,OC97,1
18+ Adult,CPA GROUP,SHELTERED HOUSING,MA05,3
18+ Adult,CPA GROUP,SHELTERED HOUSING,MA09,2
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH02,34
18+ Adult,CPA GROUP,SHELTERED HOUSING,MA01,1
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH01,85
