AgeBand,CareLevelGroup,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH03,122
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MA09,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH01,9
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MH04,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,HM03,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,HM06,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MA04,2
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MA01,2
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,SH03,2
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MH09,11
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MA05,3
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ09,9
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ12,7
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ03,4
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ02,242
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ04,2
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ01,110
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HM07,4
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HM03,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS09,159
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS02,127
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MA09,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,OC97,2
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS04,353
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MH02,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS01,352
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS05,66
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MH01,2
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MH04,3
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS03,204
18+ Adult,CPA GROUP,HOMELESS,MA04,1
18+ Adult,CPA GROUP,HOMELESS,HM07,372
18+ Adult,CPA GROUP,HOMELESS,HM05,188
18+ Adult,CPA GROUP,HOMELESS,HM03,112
18+ Adult,CPA GROUP,HOMELESS,SH09,1
18+ Adult,CPA GROUP,HOMELESS,MA09,3
18+ Adult,CPA GROUP,HOMELESS,HM06,218
18+ Adult,CPA GROUP,HOMELESS,HS05,1
18+ Adult,CPA GROUP,HOMELESS,HS01,1
18+ Adult,CPA GROUP,HOMELESS,MA06,1
18+ Adult,CPA GROUP,HOMELESS,HM01,99
18+ Adult,CPA GROUP,HOMELESS,OC97,1
18+ Adult,CPA GROUP,HOMELESS,MA02,3
18+ Adult,CPA GROUP,HOMELESS,HM04,138
18+ Adult,CPA GROUP,HOMELESS,OC99,1
18+ Adult,CPA GROUP,HOMELESS,HM02,2
18+ Adult,CPA GROUP,HOMELESS,OC96,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HM03,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA01,1443
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA06,1140
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,OC98,3
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA05,2280
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HM06,12
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA09,784
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HM07,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA04,1806
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,OC97,6
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,OC99,5
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA03,47
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,SH09,2
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HM05,3
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HS02,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA02,2363
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MH01,3
18+ Adult,CPA GROUP,MOBILE ACCOMMODATION,ML00,1
18+ Adult,CPA GROUP,OTHER,CH09,1
18+ Adult,CPA GROUP,OTHER,MA05,1
18+ Adult,CPA GROUP,OTHER,HM01,1
18+ Adult,CPA GROUP,OTHER,HM06,4
18+ Adult,CPA GROUP,OTHER,HM07,3
18+ Adult,CPA GROUP,OTHER,CH01,1
18+ Adult,CPA GROUP,OTHER,MH04,2
18+ Adult,CPA GROUP,OTHER,HM05,4
18+ Adult,CPA GROUP,OTHER,OC99,409
18+ Adult,CPA GROUP,OTHER,MA04,2
18+ Adult,CPA GROUP,OTHER,HM03,4
18+ Adult,CPA GROUP,OTHER,MA09,14
18+ Adult,CPA GROUP,OTHER,CJ02,1
18+ Adult,CPA GROUP,OTHER,OC98,106
18+ Adult,CPA GROUP,OTHER,HM04,3
18+ Adult,CPA GROUP,OTHER,MA06,5
18+ Adult,CPA GROUP,OTHER,HS09,1
18+ Adult,CPA GROUP,OTHER,HS03,1
18+ Adult,CPA GROUP,OTHER,OC97,382
18+ Adult,CPA GROUP,OTHER,MA02,7
18+ Adult,CPA GROUP,OTHER,MA01,1
18+ Adult,CPA GROUP,OTHER,MH01,2
18+ Adult,CPA GROUP,OTHER,OC96,119
18+ Adult,CPA GROUP,SHELTERED HOUSING,MA04,3
18+ Adult,CPA GROUP,SHELTERED HOUSING,HM05,1
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH09,147
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH01,117
18+ Adult,CPA GROUP,SHELTERED HOUSING,MA05,3
18+ Adult,CPA GROUP,SHELTERED HOUSING,CH09,1
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH03,15
18+ Adult,CPA GROUP,SHELTERED HOUSING,MA01,2
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH02,48
18+ Adult,CPA GROUP,SHELTERED HOUSING,MA09,2
18+ Adult,CPA GROUP,SHELTERED HOUSING,MH04,1
