AgeBand,CareLevelGroup,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MH09,23
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH01,5
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MA05,2
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,HM03,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MA04,2
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ12,3
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ09,9
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ03,3
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ02,181
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ04,1
18+ Adult,CPA GROUP,ACCOMM WITH CRIM JUSTICE SUPP,CJ01,68
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MA09,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MA02,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MA01,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS02,114
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS04,286
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,OC97,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS09,121
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MH02,1
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS01,312
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS05,56
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HM07,3
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MH04,2
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,HS03,164
18+ Adult,CPA GROUP,ACUTE/LONGSTAY RES/FAC/HOSP,MH01,2
18+ Adult,CPA GROUP,HOMELESS,MA04,2
18+ Adult,CPA GROUP,HOMELESS,HM07,255
18+ Adult,CPA GROUP,HOMELESS,HM05,115
18+ Adult,CPA GROUP,HOMELESS,HS05,1
18+ Adult,CPA GROUP,HOMELESS,SH09,1
18+ Adult,CPA GROUP,HOMELESS,MA09,1
18+ Adult,CPA GROUP,HOMELESS,HM06,184
18+ Adult,CPA GROUP,HOMELESS,HM03,77
18+ Adult,CPA GROUP,HOMELESS,HS01,1
18+ Adult,CPA GROUP,HOMELESS,MA02,3
18+ Adult,CPA GROUP,HOMELESS,HM01,64
18+ Adult,CPA GROUP,HOMELESS,OC99,1
18+ Adult,CPA GROUP,HOMELESS,HM04,84
18+ Adult,CPA GROUP,HOMELESS,HM02,2
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA04,1685
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA01,1501
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA06,1023
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,OC98,5
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA05,1999
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,CH03,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA09,541
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA03,49
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,SH09,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,OC97,8
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,OC99,4
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HM05,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HS02,1
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,HM06,6
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MA02,1749
18+ Adult,CPA GROUP,MAINSTREAM HOUSING,MH01,2
18+ Adult,CPA GROUP,MOBILE ACCOMMODATION,ML00,1
18+ Adult,CPA GROUP,OTHER,HS09,1
18+ Adult,CPA GROUP,OTHER,MA05,3
18+ Adult,CPA GROUP,OTHER,HM04,3
18+ Adult,CPA GROUP,OTHER,HM06,2
18+ Adult,CPA GROUP,OTHER,HM07,3
18+ Adult,CPA GROUP,OTHER,CH01,1
18+ Adult,CPA GROUP,OTHER,MH04,1
18+ Adult,CPA GROUP,OTHER,HM05,1
18+ Adult,CPA GROUP,OTHER,OC99,306
18+ Adult,CPA GROUP,OTHER,MA04,1
18+ Adult,CPA GROUP,OTHER,OC97,276
18+ Adult,CPA GROUP,OTHER,SH03,1
18+ Adult,CPA GROUP,OTHER,CJ02,1
18+ Adult,CPA GROUP,OTHER,OC98,73
18+ Adult,CPA GROUP,OTHER,MA01,2
18+ Adult,CPA GROUP,OTHER,MA06,3
18+ Adult,CPA GROUP,OTHER,MA02,6
18+ Adult,CPA GROUP,OTHER,MA09,3
18+ Adult,CPA GROUP,OTHER,OC96,83
18+ Adult,CPA GROUP,OTHER,HS03,1
18+ Adult,CPA GROUP,OTHER,MH01,2
18+ Adult,CPA GROUP,SHELTERED HOUSING,MA04,2
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH03,61
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH09,134
18+ Adult,CPA GROUP,SHELTERED HOUSING,CH09,3
18+ Adult,CPA GROUP,SHELTERED HOUSING,MA05,1
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH01,119
18+ Adult,CPA GROUP,SHELTERED HOUSING,MH01,1
18+ Adult,CPA GROUP,SHELTERED HOUSING,MH04,1
18+ Adult,CPA GROUP,SHELTERED HOUSING,SH02,53
