AgeBand,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ03,9
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ05,1
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ12,16
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ01,308
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH01,2
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH04,2
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS02,164
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,OC97,2
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HM07,4
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS09,203
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,OC98,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH02,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA05,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA09,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS04,400
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS05,90
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS03,236
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HM03,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,CJ02,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS01,425
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH09,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA04,1
18+ Adult,HOMELESS,OC99,2
18+ Adult,HOMELESS,CH02,1
18+ Adult,HOMELESS,HS01,1
18+ Adult,HOMELESS,HS05,1
18+ Adult,HOMELESS,OC96,1
18+ Adult,HOMELESS,OC98,2
18+ Adult,HOMELESS,SH09,2
18+ Adult,HOMELESS,HM02,4
18+ Adult,HOMELESS,HM07,830
18+ Adult,HOMELESS,MA02,11
18+ Adult,HOMELESS,HM06,686
18+ Adult,HOMELESS,HM04,484
18+ Adult,HOMELESS,MA09,4
18+ Adult,HOMELESS,OC97,2
18+ Adult,HOMELESS,MA04,1
18+ Adult,HOMELESS,HM03,291
18+ Adult,HOMELESS,SH01,1
18+ Adult,HOMELESS,HM01,253
18+ Adult,HOMELESS,HM05,421
18+ Adult,HOMELESS,MA06,1
18+ Adult,MAINSTREAM HOUSING,MA03,209
18+ Adult,MAINSTREAM HOUSING,OC99,22
18+ Adult,MAINSTREAM HOUSING,SH09,2
18+ Adult,MAINSTREAM HOUSING,MA06,4670
18+ Adult,MAINSTREAM HOUSING,HS02,1
18+ Adult,MAINSTREAM HOUSING,HM03,2
18+ Adult,MAINSTREAM HOUSING,HS03,1
18+ Adult,MAINSTREAM HOUSING,MA09,4119
18+ Adult,MAINSTREAM HOUSING,MA04,6295
18+ Adult,MAINSTREAM HOUSING,MA02,8870
18+ Adult,MAINSTREAM HOUSING,OC98,4
18+ Adult,MAINSTREAM HOUSING,HM07,1
18+ Adult,MAINSTREAM HOUSING,MH09,1
18+ Adult,MAINSTREAM HOUSING,MA01,7376
18+ Adult,MAINSTREAM HOUSING,MH01,5
18+ Adult,MAINSTREAM HOUSING,OC97,23
18+ Adult,MAINSTREAM HOUSING,MA05,6994
18+ Adult,MAINSTREAM HOUSING,OC96,1
18+ Adult,MAINSTREAM HOUSING,HM05,3
18+ Adult,MAINSTREAM HOUSING,CH09,1
18+ Adult,MAINSTREAM HOUSING,HS01,1
18+ Adult,MAINSTREAM HOUSING,HM06,25
18+ Adult,MOBILE ACCOMMODATION,ML00,6
18+ Adult,OTHER,OC97,1974
18+ Adult,OTHER,HM05,5
18+ Adult,OTHER,OC98,335
18+ Adult,OTHER,MH04,1
18+ Adult,OTHER,MA02,17
18+ Adult,OTHER,MA04,3
18+ Adult,OTHER,HM03,4
18+ Adult,OTHER,MA06,6
18+ Adult,OTHER,HM04,3
18+ Adult,OTHER,CJ02,2
18+ Adult,OTHER,SH09,1
18+ Adult,OTHER,MA09,22
18+ Adult,OTHER,HM01,1
18+ Adult,OTHER,MH01,3
18+ Adult,OTHER,SH02,1
18+ Adult,OTHER,MA01,7
18+ Adult,OTHER,CH01,1
18+ Adult,OTHER,SH01,1
18+ Adult,OTHER,OC99,5759
18+ Adult,OTHER,SH03,2
18+ Adult,OTHER,HM07,3
18+ Adult,OTHER,MA05,4
18+ Adult,OTHER,CH09,1
18+ Adult,OTHER,HS03,1
18+ Adult,OTHER,OC96,373
18+ Adult,OTHER,HM06,8
18+ Adult,OTHER,HS09,1
18+ Adult,SHELTERED HOUSING,HM05,3
18+ Adult,SHELTERED HOUSING,OC97,1
18+ Adult,SHELTERED HOUSING,OC98,1
18+ Adult,SHELTERED HOUSING,SH01,338
18+ Adult,SHELTERED HOUSING,MA05,8
18+ Adult,SHELTERED HOUSING,CH09,1
18+ Adult,SHELTERED HOUSING,MH02,1
18+ Adult,SHELTERED HOUSING,MA01,6
18+ Adult,SHELTERED HOUSING,SH03,59
18+ Adult,SHELTERED HOUSING,MA09,3
18+ Adult,SHELTERED HOUSING,SH09,350
18+ Adult,SHELTERED HOUSING,SH02,129
18+ Adult,SHELTERED HOUSING,MA04,5
