AgeBand,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,OTHER,MH04,2
18+ Adult,OTHER,HM03,5
18+ Adult,OTHER,MA04,2
18+ Adult,OTHER,MA02,22
18+ Adult,OTHER,MA06,9
18+ Adult,OTHER,SH09,2
18+ Adult,OTHER,CH02,1
18+ Adult,OTHER,HM04,4
18+ Adult,OTHER,CH09,2
18+ Adult,OTHER,SH02,1
18+ Adult,OTHER,MH01,3
18+ Adult,OTHER,HM01,1
18+ Adult,OTHER,MA01,10
18+ Adult,OTHER,CH01,1
18+ Adult,OTHER,CJ02,1
18+ Adult,OTHER,OC99,6240
18+ Adult,OTHER,SH03,4
18+ Adult,OTHER,HM07,4
18+ Adult,OTHER,SH01,1
18+ Adult,OTHER,OC96,490
18+ Adult,OTHER,MA05,5
18+ Adult,OTHER,MA09,26
18+ Adult,OTHER,HS03,1
18+ Adult,OTHER,HS09,1
18+ Adult,OTHER,HM06,11
18+ Adult,SHELTERED HOUSING,SH03,144
18+ Adult,SHELTERED HOUSING,SH01,594
18+ Adult,SHELTERED HOUSING,OC98,1
18+ Adult,SHELTERED HOUSING,OC97,2
18+ Adult,SHELTERED HOUSING,MH01,2
18+ Adult,SHELTERED HOUSING,MH04,1
18+ Adult,SHELTERED HOUSING,MH02,1
18+ Adult,SHELTERED HOUSING,MA01,3
18+ Adult,SHELTERED HOUSING,HM05,2
18+ Adult,SHELTERED HOUSING,MA09,4
18+ Adult,SHELTERED HOUSING,SH09,483
18+ Adult,SHELTERED HOUSING,CH09,2
18+ Adult,SHELTERED HOUSING,SH02,226
18+ Adult,SHELTERED HOUSING,MA04,5
18+ Adult,SHELTERED HOUSING,MA05,4
